2025-08-01 07:58:50 | INFO     | logging_config:__init__:37 | Logging system initialized with level: INFO
2025-08-01 07:58:50 | INFO     | __main__:__init__:40 | Anomaly Detection System initialized
2025-08-01 07:58:50 | INFO     | __main__:main:419 | Starting monitoring mode...
2025-08-01 07:58:50 | INFO     | __main__:load_saved_model:297 | Loading saved model from cpu_anomaly_model.pkl
2025-08-01 07:58:50 | INFO     | anomaly_model:load_model:490 | Model loaded from cpu_anomaly_model.pkl
2025-08-01 07:58:50 | INFO     | anomaly_model:load_model:491 | Model was trained at: 2025-08-01T07:57:12.816562
2025-08-01 07:58:50 | INFO     | __main__:load_saved_model:302 | Model loaded successfully
2025-08-01 07:58:50 | INFO     | prometheus_client:__init__:41 | Initialized Prometheus client for http://localhost:9090
2025-08-01 07:58:50 | ERROR    | prometheus_client:check_connection:59 | Failed to connect to Prometheus server: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/status/config (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3e44f9e0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:50 | WARNING  | __main__:setup_prometheus_client:224 | Could not connect to Prometheus - will use simulation mode
2025-08-01 07:58:50 | INFO     | logging_config:log_system_status:262 | System status - prometheus: simulation_mode
2025-08-01 07:58:50 | INFO     | prometheus_client:__init__:371 | Real-time anomaly monitor initialized
2025-08-01 07:58:50 | INFO     | __main__:start_real_time_monitoring:280 | Starting real-time monitoring (interval: 5s)
2025-08-01 07:58:50 | INFO     | logging_config:log_system_status:262 | System status - monitor: started
2025-08-01 07:58:50 | INFO     | prometheus_client:monitor_cpu_continuous:283 | Starting continuous CPU monitoring (interval: 5s)
2025-08-01 07:58:50 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6d820>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:51 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6e450>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:53 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B5m%5D%29%29+%2A+100%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6e780>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:53 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: 100 - (avg by (instance) (rate(node_cpu_seconds_total{mode="idle"}[5m])) * 100)
2025-08-01 07:58:53 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6e6c0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:54 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb09df0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:56 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=avg%28100+-+%28avg+by+%28instance%29+%28rate%28cpu_usage_idle%5B5m%5D%29%29+%2A+100%29%29 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6e5a0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:56 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: avg(100 - (avg by (instance) (rate(cpu_usage_idle[5m])) * 100))
2025-08-01 07:58:56 | WARNING  | prometheus_client:query_instant:97 | Query attempt 1 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6e6f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:57 | WARNING  | prometheus_client:query_instant:97 | Query attempt 2 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6ec90>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:59 | WARNING  | prometheus_client:query_instant:97 | Query attempt 3 failed: HTTPConnectionPool(host='localhost', port=9090): Max retries exceeded with url: /api/v1/query?query=cpu_usage_percent (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f5e3cb6f0b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-08-01 07:58:59 | ERROR    | prometheus_client:query_instant:101 | All query attempts failed for: cpu_usage_percent
